,LT,abs,rel
44898,1,56.5685424949,56.5685424949
44903,1,80.0,46.1880215352
44908,1,98.9949493661,90.1849950565
44909,1,28.2842712475,23.0940107676
44911,0,66.3324958071,52.2812904712
44913,1,44.72135955,37.4165738677
44914,1,34.6410161514,33.6650164612
44916,0,112.249721603,54.7722557505
44917,1,90.0,87.654625282
44921,1,77.4596669241,73.4846922835
44923,0,72.1110255093,43.9696865276
44924,1,118.321595662,118.039541398
44927,0,140.712472795,139.761701955
44928,0,34.6410161514,33.6650164612
44929,1,56.5685424949,46.1880215352
44930,1,34.6410161514,24.4948974278
44931,1,103.440804328,96.6953980291
44934,1,56.5685424949,46.1880215352
44937,0,60.0,59.4418483338
44939,0,72.1110255093,71.6472842007
44940,1,80.0,73.029674334
44941,0,60.0,54.7722557505
44942,1,48.9897948557,46.1880215352
44944,0,127.671453348,101.406771635
44947,0,60.0,59.4418483338
44948,0,126.885775404,118.673220793
44951,0,122.065556157,121.997267729
44953,1,44.72135955,43.9696865276
44954,0,77.4596669241,77.0281333886
44960,1,44.72135955,43.9696865276
44963,0,34.6410161514,33.6650164612
44966,1,82.4621125124,78.7400787401
44968,1,135.277492585,135.21587678
44969,1,66.3324958071,65.8280588604
44971,0,48.9897948557,36.514837167
44972,0,99.4987437107,62.3163969861
44973,1,34.6410161514,33.6650164612
44974,0,44.72135955,43.9696865276
44976,0,137.113092008,136.869767784
44977,1,60.0,43.9696865276
44979,0,87.1779788708,83.6660026534
44982,0,63.2455532034,63.2455532034
44983,0,95.9166304663,92.736184955
44991,1,28.2842712475,28.2842712475
44993,1,28.2842712475,23.0940107676
44995,1,76.1577310586,58.3095189485
44996,0,97.4679434481,86.5062618157
44997,1,76.8114574787,74.0495329717
45000,1,86.6025403784,84.162541153
45002,0,63.2455532034,63.2455532034
45003,1,44.72135955,43.9696865276
45004,0,112.694276696,106.536378763
45006,1,104.880884817,103.601801786
45007,1,74.8331477355,56.5685424949
45008,0,48.9897948557,36.514837167
45009,0,28.2842712475,28.2842712475
45010,0,63.2455532034,61.1010092661
45014,1,127.671453348,112.026782512
45016,0,128.840987267,122.202018532
45019,1,48.9897948557,36.514837167
45020,1,99.4987437107,84.162541153
45022,0,109.087121146,84.162541153
45023,0,108.627804912,108.627804912
45025,0,127.279220614,126.227308192
45026,1,74.8331477355,74.8331477355
45028,1,100.995049384,100.664459137
45029,0,133.790881603,132.224556469
45031,1,34.6410161514,33.6650164612
45034,0,142.828568571,139.044357431
45035,1,34.6410161514,24.4948974278
45037,1,60.0,59.4418483338
45039,1,60.0,59.4418483338
45040,1,69.2820323028,67.3300329224
45042,1,83.6660026534,61.1010092661
45046,0,52.9150262213,52.2812904712
45054,1,51.9615242271,36.7423461417
45056,1,71.4142842854,55.5277708299
45061,0,110.0,85.3424474299
45063,1,105.356537529,85.7321409974
45064,1,60.0,59.4418483338
45068,0,103.923048454,103.601801786
45069,1,108.166538264,98.4039294608
45070,1,40.0,36.514837167
45071,1,82.4621125124,71.6472842007
45073,1,82.4621125124,71.6472842007
45080,1,113.13708499,108.320512062
45082,0,132.664991614,79.5822425754
45083,0,82.4621125124,78.7400787401
45086,1,74.8331477355,67.3300329224
45088,0,118.321595662,92.736184955
45089,0,120.830459736,116.332855777
45095,0,50.9901951359,44.72135955
45102,1,44.72135955,37.4165738677
45104,1,72.1110255093,71.6472842007
45106,0,74.8331477355,74.8331477355
45111,1,72.1110255093,67.8232998313
45112,1,81.8535277187,80.9320702812
45118,1,28.2842712475,28.2842712475
45119,0,82.4621125124,78.7400787401
45122,1,131.52946438,111.728838414
45123,0,137.840487521,87.9393730552
45125,1,44.72135955,43.9696865276
45127,1,56.5685424949,46.1880215352
45128,1,72.1110255093,67.8232998313
45129,1,28.2842712475,23.0940107676
45131,0,103.923048454,103.601801786
45132,1,28.2842712475,23.0940107676
45133,0,151.657508881,151.437555888
45134,0,128.452325787,127.867118525
45135,0,116.619037897,63.2455532034
45137,1,28.2842712475,28.2842712475
45139,0,119.582607431,97.3824077199
45140,0,89.4427191,74.8331477355
45141,1,81.8535277187,73.1436941916
45142,0,151.986841536,139.104277432
45144,1,48.9897948557,46.1880215352
45145,0,28.2842712475,23.0940107676
45148,0,130.0,68.9202437605
45149,0,56.5685424949,46.1880215352
45150,0,76.1577310586,72.1110255093
45151,0,103.923048454,103.601801786
45152,0,34.6410161514,33.6650164612
45153,1,124.09673646,119.721899974
45159,0,66.3324958071,65.8280588604
45163,0,118.321595662,103.601801786
45167,1,57.4456264654,44.1588043316
