,1,2,3,4,5,6
92,75.0,-15.0,-15.0,-15.0,-15.0,-15.0
93,-16.6666666667,83.3333333333,-16.6666666667,-16.6666666667,-16.6666666667,-16.6666666667
94,15.0,15.0,15.0,15.0,-75.0,15.0
101,-1.66666666667,8.33333333333,-1.66666666667,-1.66666666667,-1.66666666667,-1.66666666667
103,58.3333333333,-11.6666666667,-11.6666666667,-11.6666666667,-11.6666666667,-11.6666666667
110,-10.0,-10.0,50.0,-10.0,-10.0,-10.0
112,13.3333333333,13.3333333333,-66.6666666667,13.3333333333,13.3333333333,13.3333333333
113,-13.3333333333,-13.3333333333,66.6666666667,-13.3333333333,-13.3333333333,-13.3333333333
114,13.3333333333,13.3333333333,13.3333333333,-66.6666666667,13.3333333333,13.3333333333
122,-1.66666666667,8.33333333333,-1.66666666667,-1.66666666667,-1.66666666667,-1.66666666667
125,8.33333333333,-1.66666666667,-1.66666666667,-1.66666666667,-1.66666666667,-1.66666666667
130,-5.0,-5.0,25.0,-5.0,-5.0,-5.0
132,-15.0,-15.0,-15.0,-15.0,75.0,-15.0
134,8.33333333333,8.33333333333,8.33333333333,8.33333333333,-41.6666666667,8.33333333333
140,1.66666666667,1.66666666667,1.66666666667,1.66666666667,-8.33333333333,1.66666666667
141,1.66666666667,1.66666666667,1.66666666667,-8.33333333333,1.66666666667,1.66666666667
144,66.6666666667,-13.3333333333,-13.3333333333,-13.3333333333,-13.3333333333,-13.3333333333
147,-5.0,-5.0,25.0,-5.0,-5.0,-5.0
158,13.3333333333,13.3333333333,13.3333333333,13.3333333333,-66.6666666667,13.3333333333
160,1.66666666667,1.66666666667,1.66666666667,1.66666666667,-8.33333333333,1.66666666667
163,15.0,15.0,15.0,15.0,15.0,-75.0
168,-11.6666666667,-11.6666666667,-11.6666666667,58.3333333333,-11.6666666667,-11.6666666667
171,-25.0,125.0,-25.0,-25.0,-25.0,-25.0
173,1.66666666667,1.66666666667,1.66666666667,1.66666666667,1.66666666667,-8.33333333333
181,-6.66666666667,-6.66666666667,33.3333333333,-6.66666666667,-6.66666666667,-6.66666666667
183,-13.3333333333,-13.3333333333,66.6666666667,-13.3333333333,-13.3333333333,-13.3333333333
185,8.33333333333,8.33333333333,8.33333333333,8.33333333333,8.33333333333,-41.6666666667
186,-13.3333333333,-13.3333333333,-13.3333333333,-13.3333333333,66.6666666667,-13.3333333333
193,-3.33333333333,-3.33333333333,-3.33333333333,-3.33333333333,-3.33333333333,16.6666666667
196,-11.6666666667,-11.6666666667,-11.6666666667,58.3333333333,-11.6666666667,-11.6666666667
207,-6.66666666667,-6.66666666667,33.3333333333,-6.66666666667,-6.66666666667,-6.66666666667
208,-18.3333333333,91.6666666667,-18.3333333333,-18.3333333333,-18.3333333333,-18.3333333333
209,-11.6666666667,-11.6666666667,-11.6666666667,58.3333333333,-11.6666666667,-11.6666666667
211,-16.6666666667,-16.6666666667,-16.6666666667,83.3333333333,-16.6666666667,-16.6666666667
212,5.0,5.0,-25.0,5.0,5.0,5.0
213,5.0,5.0,5.0,5.0,5.0,-25.0
215,16.6666666667,-3.33333333333,-3.33333333333,-3.33333333333,-3.33333333333,-3.33333333333
